,Newspaper,Year,Faces
488,GDL,1957,0
489,GDL,1957,0
490,GDL,1957,0
491,GDL,1957,1
492,GDL,1957,0
493,GDL,1957,0
494,GDL,1957,0
495,GDL,1957,0
496,GDL,1962,0
497,GDL,1962,0
498,GDL,1962,0
499,GDL,1962,0
500,GDL,1962,0
501,GDL,1962,0
502,GDL,1962,0
503,GDL,1962,0
504,GDL,1962,0
505,GDL,1962,0
506,GDL,1962,0
507,GDL,1962,0
508,GDL,1962,0
509,GDL,1962,1
510,GDL,1962,0
511,GDL,1962,0
512,GDL,1962,0
513,GDL,1962,0
514,GDL,1962,0
515,GDL,1962,0
516,GDL,1962,3
517,GDL,1962,0
518,GDL,1962,0
519,GDL,1962,0
520,GDL,1962,0
521,GDL,1962,0
522,GDL,1962,0
523,GDL,1962,0
524,GDL,1962,0
525,GDL,1962,1
526,GDL,1962,0
527,GDL,1962,0
528,GDL,1962,4
529,GDL,1962,0
530,GDL,1962,0
531,GDL,1962,0
532,GDL,1962,1
533,GDL,1962,0
534,GDL,1962,0
535,GDL,1962,0
536,GDL,1967,2
537,GDL,1967,1
538,GDL,1967,0
539,GDL,1967,0
540,GDL,1967,0
541,GDL,1967,0
542,GDL,1967,0
543,GDL,1967,0
544,GDL,1967,1
545,GDL,1967,0
546,GDL,1967,0
547,GDL,1967,1
548,GDL,1967,0
549,GDL,1967,0
550,GDL,1967,0
551,GDL,1967,1
552,GDL,1967,0
553,GDL,1967,0
554,GDL,1967,0
555,GDL,1967,0
556,GDL,1967,0
557,GDL,1967,0
558,GDL,1967,1
559,GDL,1967,0
560,GDL,1967,0
561,GDL,1967,0
562,GDL,1967,0
563,GDL,1967,0
564,GDL,1967,0
565,GDL,1967,1
566,GDL,1967,1
567,GDL,1967,1
568,GDL,1967,0
569,GDL,1967,0
570,GDL,1967,0
571,GDL,1967,0
572,GDL,1967,0
573,GDL,1967,0
574,GDL,1967,0
575,GDL,1967,1
576,GDL,1967,0
577,GDL,1967,0
578,GDL,1967,0
579,GDL,1967,1
580,GDL,1967,1
581,GDL,1967,0
582,GDL,1967,1
583,GDL,1967,0
584,GDL,1967,1
585,GDL,1967,0
586,GDL,1972,0
587,GDL,1972,0
588,GDL,1972,0
589,GDL,1972,0
590,GDL,1972,0
591,GDL,1972,1
592,GDL,1972,0
593,GDL,1972,0
594,GDL,1972,0
595,GDL,1972,0
596,GDL,1972,0
597,GDL,1972,1
598,GDL,1972,0
599,GDL,1972,0
600,GDL,1972,0
601,GDL,1972,1
602,GDL,1972,0
603,GDL,1972,0
604,GDL,1972,0
605,GDL,1972,0
606,GDL,1972,0
607,GDL,1972,0
608,GDL,1972,0
609,GDL,1972,0
610,GDL,1972,1
611,GDL,1972,0
612,GDL,1972,0
613,GDL,1972,0
614,GDL,1972,0
615,GDL,1972,0
616,GDL,1972,0
617,GDL,1972,0
618,GDL,1972,0
619,GDL,1972,0
620,GDL,1972,0
621,GDL,1972,1
622,GDL,1972,0
623,GDL,1972,0
624,GDL,1972,0
625,GDL,1972,0
626,GDL,1977,0
627,GDL,1977,1
628,GDL,1977,0
629,GDL,1977,2
630,GDL,1977,1
631,GDL,1977,0
632,GDL,1977,0
633,GDL,1977,0
634,GDL,1977,0
635,GDL,1977,0
636,GDL,1977,0
637,GDL,1977,0
638,GDL,1977,0
639,GDL,1977,0
640,GDL,1977,0
641,GDL,1977,3
642,GDL,1977,0
643,GDL,1977,0
644,GDL,1977,0
645,GDL,1977,0
646,GDL,1977,0
647,GDL,1977,0
648,GDL,1977,0
649,GDL,1977,0
650,GDL,1977,0
651,GDL,1977,0
652,GDL,1977,0
653,GDL,1977,0
654,GDL,1977,0
655,GDL,1977,1
656,GDL,1977,0
657,GDL,1977,0
658,GDL,1977,0
659,GDL,1977,0
660,GDL,1977,0
661,GDL,1977,0
662,GDL,1977,0
663,GDL,1977,1
664,GDL,1982,1
665,GDL,1982,0
666,GDL,1982,1
667,GDL,1982,0
668,GDL,1982,1
669,GDL,1982,0
670,GDL,1982,0
671,GDL,1982,0
672,GDL,1982,0
673,GDL,1982,1
674,GDL,1982,1
675,GDL,1982,0
676,GDL,1982,0
677,GDL,1982,1
678,GDL,1982,1
679,GDL,1982,1
680,GDL,1982,1
681,GDL,1982,1
682,GDL,1982,0
683,GDL,1982,0
684,GDL,1982,0
685,GDL,1982,2
686,GDL,1982,0
687,GDL,1982,0
688,GDL,1982,0
689,GDL,1982,0
690,GDL,1982,1
691,GDL,1982,0
692,GDL,1982,0
693,GDL,1982,1
694,GDL,1982,0
695,GDL,1982,0
696,GDL,1982,0
697,GDL,1982,0
698,GDL,1982,0
699,GDL,1982,1
700,GDL,1982,0
701,GDL,1982,0
702,GDL,1982,0
703,GDL,1982,2
704,GDL,1982,1
705,GDL,1982,1
706,GDL,1982,0
707,GDL,1982,0
708,GDL,1982,0
709,GDL,1982,0
710,GDL,1982,1
711,GDL,1982,1
712,GDL,1982,0
713,GDL,1982,0
714,GDL,1982,0
715,GDL,1982,0
716,GDL,1982,0
717,GDL,1982,0
718,GDL,1982,0
719,GDL,1982,0
720,GDL,1982,0
721,GDL,1982,0
722,GDL,1982,0
723,GDL,1982,2
724,GDL,1987,1
725,GDL,1987,0
726,GDL,1987,0
727,GDL,1987,0
728,GDL,1987,0
729,GDL,1987,0
730,GDL,1987,0
731,GDL,1987,0
732,GDL,1987,0
733,GDL,1987,0
734,GDL,1987,0
735,GDL,1987,0
736,GDL,1987,0
737,GDL,1987,0
738,GDL,1987,0
739,GDL,1987,0
740,GDL,1987,1
741,GDL,1987,1
742,GDL,1987,1
743,GDL,1987,0
744,GDL,1987,0
745,GDL,1987,0
746,GDL,1987,1
747,GDL,1987,0
748,GDL,1987,0
749,GDL,1987,0
750,GDL,1987,3
751,GDL,1987,1
752,GDL,1987,1
753,GDL,1987,2
754,GDL,1987,0
755,GDL,1987,0
756,GDL,1987,0
757,GDL,1987,0
758,GDL,1987,0
759,GDL,1987,0
760,GDL,1987,0
761,GDL,1987,2
762,GDL,1987,1
763,GDL,1987,1
764,GDL,1987,0
765,GDL,1987,0
766,GDL,1987,4
767,GDL,1987,4
768,GDL,1987,0
769,GDL,1987,0
770,GDL,1987,0
771,GDL,1987,0
772,GDL,1987,0
773,GDL,1987,0
774,GDL,1987,1
775,GDL,1987,3
776,GDL,1987,0
777,GDL,1987,0
778,GDL,1987,1
779,GDL,1987,0
780,GDL,1987,0
781,GDL,1987,0
782,GDL,1987,0
783,GDL,1987,0
784,GDL,1987,0
785,GDL,1987,0
786,GDL,1987,1
787,GDL,1987,1
788,GDL,1987,1
789,GDL,1987,0
790,GDL,1987,1
791,GDL,1987,0
792,GDL,1987,0
793,GDL,1987,1
794,GDL,1987,0
795,GDL,1987,0
796,GDL,1987,1
797,GDL,1987,0
798,GDL,1987,2
799,GDL,1987,0
800,GDL,1992,0
801,GDL,1992,2
802,GDL,1992,1
803,GDL,1992,0
804,GDL,1992,0
805,GDL,1992,0
806,GDL,1992,0
807,GDL,1992,0
808,GDL,1992,1
809,GDL,1992,0
810,GDL,1992,0
811,GDL,1992,0
812,GDL,1992,0
813,GDL,1992,0
814,GDL,1992,0
815,GDL,1992,2
816,GDL,1992,0
817,GDL,1992,0
818,GDL,1992,2
819,GDL,1992,1
820,GDL,1992,0
821,GDL,1992,1
822,GDL,1992,0
823,GDL,1992,0
824,GDL,1992,0
825,GDL,1992,1
826,GDL,1992,0
827,GDL,1992,0
828,GDL,1992,5
829,GDL,1992,0
830,GDL,1992,0
831,GDL,1992,1
832,GDL,1992,0
833,GDL,1992,0
834,GDL,1992,0
835,GDL,1992,0
836,GDL,1992,0
837,GDL,1992,1
838,GDL,1992,1
839,GDL,1992,0
840,GDL,1992,0
841,GDL,1992,1
842,GDL,1992,0
843,GDL,1992,0
844,GDL,1992,2
845,GDL,1992,0
846,GDL,1992,0
847,GDL,1992,0
848,GDL,1992,0
849,GDL,1992,0
850,GDL,1992,0
851,GDL,1992,2
852,GDL,1992,4
853,GDL,1992,1
854,GDL,1992,0
855,GDL,1992,0
856,GDL,1992,0
857,GDL,1992,0
858,GDL,1992,1
859,GDL,1992,1
860,GDL,1992,0
861,GDL,1992,0
862,GDL,1992,1
863,GDL,1992,0
864,GDL,1992,0
865,GDL,1992,0
866,GDL,1992,1
867,GDL,1992,1
868,GDL,1992,2
869,GDL,1992,1
870,GDL,1992,2
871,GDL,1992,0
872,GDL,1992,0
873,GDL,1992,0
874,GDL,1992,1
875,GDL,1992,0
876,GDL,1992,0
877,GDL,1992,0
878,GDL,1992,7
879,GDL,1992,1
880,GDL,1992,0
881,GDL,1992,0
882,GDL,1992,1
883,GDL,1992,0
884,GDL,1992,2
885,GDL,1992,2
886,GDL,1992,0
887,GDL,1992,2
888,GDL,1992,0
889,GDL,1992,3
890,GDL,1992,0
891,GDL,1992,0
892,GDL,1992,0
893,GDL,1992,0
894,GDL,1992,1
895,GDL,1992,1
896,GDL,1997,2
897,GDL,1997,0
898,GDL,1997,2
899,GDL,1997,0
900,GDL,1997,0
901,GDL,1997,0
902,GDL,1997,1
903,GDL,1997,1
904,GDL,1997,1
905,GDL,1997,0
906,GDL,1997,0
907,GDL,1997,1
908,GDL,1997,0
909,GDL,1997,0
910,GDL,1997,0
911,GDL,1997,0
912,GDL,1997,0
913,GDL,1997,1
914,GDL,1997,0
915,GDL,1997,0
916,GDL,1997,1
917,GDL,1997,0
918,GDL,1997,0
919,GDL,1997,1
920,GDL,1997,0
921,GDL,1997,0
922,GDL,1997,0
923,GDL,1997,0
924,GDL,1997,3
925,GDL,1997,1
926,GDL,1997,0
927,GDL,1997,1
928,GDL,1997,1
929,GDL,1997,2
930,GDL,1997,1
931,GDL,1997,2
932,GDL,1997,0
933,GDL,1997,0
934,GDL,1997,0
935,GDL,1997,1
936,GDL,1997,0
937,GDL,1997,0
938,GDL,1997,0
939,GDL,1997,0
940,GDL,1997,0
941,GDL,1997,0
942,GDL,1997,0
943,GDL,1997,0
944,GDL,1997,0
945,GDL,1997,2
946,GDL,1997,0
947,GDL,1997,0
948,GDL,1997,0
949,GDL,1997,0
950,GDL,1997,0
951,GDL,1997,0
952,GDL,1997,0
953,GDL,1997,0
954,GDL,1997,0
955,GDL,1997,0
956,GDL,1997,1
957,GDL,1997,1
958,GDL,1997,0
959,GDL,1997,2
960,GDL,1997,0
961,GDL,1997,0
962,GDL,1997,0
963,GDL,1997,0
964,GDL,1997,0
965,GDL,1997,0
966,GDL,1997,1
967,GDL,1997,0
968,GDL,1997,0
969,GDL,1997,1
970,GDL,1997,3
971,GDL,1997,0
972,GDL,1997,1
973,GDL,1997,1
974,GDL,1997,1
975,GDL,1997,1
976,GDL,1997,0
977,GDL,1997,1
978,GDL,1997,0
979,GDL,1997,0
980,GDL,1997,1
981,GDL,1997,0
982,GDL,1997,1
983,GDL,1997,4
984,GDL,1997,0
985,GDL,1997,0
986,GDL,1997,0
987,GDL,1997,1
988,GDL,1997,0
989,GDL,1997,0
990,GDL,1997,0
991,GDL,1997,0
992,GDL,1997,0
993,GDL,1997,1
994,GDL,1997,1
995,GDL,1997,1
996,GDL,1997,4
997,GDL,1997,1
998,GDL,1997,0
999,GDL,1997,0
1000,GDL,1997,0
1001,GDL,1997,0
1002,GDL,1997,0
1003,GDL,1997,0
